ID,Country,Region,Province,Municipality,SubMunicipality,PostalCode,Locality,Zoning,Direction
L1,Inconnu,Inconnu,INCONNU,INCONNU,1,0,Inconnu,Localité non DNF,Localité non DNF
L2,Belgique,Bruxelles,BRUXELLES,BRUXELLES,0,1000,Bruxelles,Localité non DNF,Localité non DNF
L3,Belgique,Bruxelles,BRUXELLES,BRUXELLES,1,1020,Laeken,Localité non DNF,Localité non DNF
L4,Belgique,Bruxelles,BRUXELLES,SCHAERBEEK,0,1030,Schaerbeek,Localité non DNF,Localité non DNF
L5,Belgique,Bruxelles,BRUXELLES,ETTERBEEK,0,1040,Etterbeek,Localité non DNF,Localité non DNF
L6,Belgique,Bruxelles,BRUXELLES,IXELLES,0,1050,Ixelles,Localité non DNF,Localité non DNF
L7,Belgique,Bruxelles,BRUXELLES,SAINT-GILLES,0,1060,Saint-Gilles,Localité non DNF,Localité non DNF
L8,Belgique,Bruxelles,BRUXELLES,ANDERLECHT,0,1070,Anderlecht,Localité non DNF,Localité non DNF
L9,Belgique,Bruxelles,BRUXELLES,MOLENBEEK-SAINT-JEAN,0,1080,Molenbeek-Saint-Jean,Localité non DNF,Localité non DNF
L10,Belgique,Bruxelles,BRUXELLES,KOEKELBERG,0,1081,Koekelberg,Localité non DNF,Localité non DNF
L11,Belgique,Bruxelles,BRUXELLES,BERCHEM-SAINTE-AGATHE,0,1082,Berchem-Sainte-Agathe,Localité non DNF,Localité non DNF
L12,Belgique,Bruxelles,BRUXELLES,GANSHOREN,0,1083,Ganshoren,Localité non DNF,Localité non DNF
L13,Belgique,Bruxelles,BRUXELLES,JETTE,0,1090,Jette,Localité non DNF,Localité non DNF
L14,Belgique,Bruxelles,BRUXELLES,BRUXELLES,1,1120,Neder-Over-Heembeek,Localité non DNF,Localité non DNF
L15,Belgique,Bruxelles,BRUXELLES,BRUXELLES,1,1130,Haren,Localité non DNF,Localité non DNF
L16,Belgique,Bruxelles,BRUXELLES,EVERE,0,1140,Evere,Localité non DNF,Localité non DNF
L17,Belgique,Bruxelles,BRUXELLES,WOLUWE-SAINT-PIERRE,0,1150,Woluwe-Saint-Pierre,Localité non DNF,Localité non DNF
L18,Belgique,Bruxelles,BRUXELLES,AUDERGHEM,0,1160,Auderghem,Localité non DNF,Localité non DNF
L19,Belgique,Bruxelles,BRUXELLES,WATERMAEL-BOITSFORT,0,1170,Watermael-Boitsfort,Localité non DNF,Localité non DNF
L20,Belgique,Bruxelles,BRUXELLES,UCCLE,0,1180,Uccle,Localité non DNF,Localité non DNF
L21,Belgique,Bruxelles,BRUXELLES,FOREST,0,1190,Forest,Localité non DNF,Localité non DNF
L22,Belgique,Bruxelles,BRUXELLES,WOLUWE-SAINT-LAMBERT,0,1200,Woluwe-Saint-Lambert,Localité non DNF,Localité non DNF
L23,Belgique,Bruxelles,BRUXELLES,SAINT-JOSSE-TEN-NOODE,0,1210,Saint-Josse-ten-Noode,Localité non DNF,Localité non DNF
L24,Belgique,Wallonie,BRABANT WALLON,WAVRE,0,1300,Wavre,NIVELLES,MONS
L25,Belgique,Wallonie,BRABANT WALLON,WAVRE,1,1300,Limal,NIVELLES,MONS
L26,Belgique,Wallonie,BRABANT WALLON,WAVRE,1,1301,Bierges,NIVELLES,MONS
L27,Belgique,Wallonie,BRABANT WALLON,LA HULPE,0,1310,La Hulpe,NIVELLES,MONS
L28,Belgique,Wallonie,BRABANT WALLON,INCOURT,1,1315,Glimes,NIVELLES,MONS
L29,Belgique,Wallonie,BRABANT WALLON,INCOURT,1,1315,Opprebais,NIVELLES,MONS
L30,Belgique,Wallonie,BRABANT WALLON,INCOURT,0,1315,Incourt,NIVELLES,MONS
L31,Belgique,Wallonie,BRABANT WALLON,INCOURT,1,1315,Piétrebais,NIVELLES,MONS
L32,Belgique,Wallonie,BRABANT WALLON,INCOURT,1,1315,Roux-Miroir,NIVELLES,MONS
L33,Belgique,Wallonie,BRABANT WALLON,BEAUVECHAIN,0,1320,Beauvechain,NIVELLES,MONS
L34,Belgique,Wallonie,BRABANT WALLON,BEAUVECHAIN,1,1320,Hamme-Mille,NIVELLES,MONS
L35,Belgique,Wallonie,BRABANT WALLON,BEAUVECHAIN,1,1320,Nodebais,NIVELLES,MONS
L36,Belgique,Wallonie,BRABANT WALLON,BEAUVECHAIN,1,1320,Tourinnes-la-Grosse,NIVELLES,MONS
L37,Belgique,Wallonie,BRABANT WALLON,BEAUVECHAIN,1,1320,l'Écluse,NIVELLES,MONS
L38,Belgique,Wallonie,BRABANT WALLON,CHAUMONT-GISTOUX,0,1325,Chaumont-Gistoux,NIVELLES,MONS
L39,Belgique,Wallonie,BRABANT WALLON,CHAUMONT-GISTOUX,1,1325,Dion-Valmont,NIVELLES,MONS
L40,Belgique,Wallonie,BRABANT WALLON,CHAUMONT-GISTOUX,1,1325,Corroy-le-Grand,NIVELLES,MONS
L41,Belgique,Wallonie,BRABANT WALLON,CHAUMONT-GISTOUX,1,1325,Longueville,NIVELLES,MONS
L42,Belgique,Wallonie,BRABANT WALLON,CHAUMONT-GISTOUX,1,1325,Bonlez,NIVELLES,MONS
L43,Belgique,Wallonie,BRABANT WALLON,RIXENSART,0,1330,Rixensart,NIVELLES,MONS
L44,Belgique,Wallonie,BRABANT WALLON,RIXENSART,1,1331,Rosières,NIVELLES,MONS
L45,Belgique,Wallonie,BRABANT WALLON,RIXENSART,1,1332,Genval,NIVELLES,MONS
L46,Belgique,Wallonie,BRABANT WALLON,OTTIGNIES-LOUVAIN-LA-NEUVE,1,1340,Ottignies,NIVELLES,MONS
L47,Belgique,Wallonie,BRABANT WALLON,OTTIGNIES-LOUVAIN-LA-NEUVE,1,1341,Céroux-Mousty,NIVELLES,MONS
L48,Belgique,Wallonie,BRABANT WALLON,OTTIGNIES-LOUVAIN-LA-NEUVE,1,1342,Limelette,NIVELLES,MONS
L49,Belgique,Wallonie,BRABANT WALLON,OTTIGNIES-LOUVAIN-LA-NEUVE,1,1348,Louvain-la-Neuve,NIVELLES,MONS
L50,Belgique,Wallonie,BRABANT WALLON,ORP-JAUCHE,1,1350,Folx-les-Caves,NIVELLES,MONS
L51,Belgique,Wallonie,BRABANT WALLON,ORP-JAUCHE,1,1350,Jauche,NIVELLES,MONS
L52,Belgique,Wallonie,BRABANT WALLON,ORP-JAUCHE,1,1350,Noduwez,NIVELLES,MONS
L53,Belgique,Wallonie,BRABANT WALLON,ORP-JAUCHE,1,1350,Orp-le-Grand,NIVELLES,MONS
L54,Belgique,Wallonie,BRABANT WALLON,ORP-JAUCHE,1,1350,Marilles,NIVELLES,MONS
L55,Belgique,Wallonie,BRABANT WALLON,ORP-JAUCHE,0,1350,Orp-Jauche,NIVELLES,MONS
L56,Belgique,Wallonie,BRABANT WALLON,ORP-JAUCHE,1,1350,Enines,NIVELLES,MONS
L57,Belgique,Wallonie,BRABANT WALLON,ORP-JAUCHE,1,1350,Jandrain-Jandrenouille,NIVELLES,MONS
L58,Belgique,Wallonie,BRABANT WALLON,HÉLÉCINE,1,1357,Hélécine,NIVELLES,MONS
L59,Belgique,Wallonie,BRABANT WALLON,HÉLÉCINE,1,1357,Linsmeau,NIVELLES,MONS
L60,Belgique,Wallonie,BRABANT WALLON,HÉLÉCINE,1,1357,Neerheylissem,NIVELLES,MONS
L61,Belgique,Wallonie,BRABANT WALLON,HÉLÉCINE,1,1357,Opheylissem,NIVELLES,MONS
L62,Belgique,Wallonie,BRABANT WALLON,PERWEZ,0,1360,Perwez,NIVELLES,MONS
L63,Belgique,Wallonie,BRABANT WALLON,PERWEZ,1,1360,Thorembais-Saint-Trond,NIVELLES,MONS
L64,Belgique,Wallonie,BRABANT WALLON,PERWEZ,1,1360,Malèves-Sainte-Marie-Wastinnes,NIVELLES,MONS
L65,Belgique,Wallonie,BRABANT WALLON,PERWEZ,1,1360,Orbais,NIVELLES,MONS
L66,Belgique,Wallonie,BRABANT WALLON,PERWEZ,1,1360,Thorembais-les-Béguines,NIVELLES,MONS
L67,Belgique,Wallonie,BRABANT WALLON,RAMILLIES,0,1367,Ramillies,NIVELLES,MONS
