ID,Species,CreavesSpecies,Class,Order,Family,NativeStatus,AgwGroup,SubsideGroup,Game,Huntable
SP1,Accipiter gentilis,Autour des palombes,Aves,Accipitriformes,Accipitridés,NS1,Rapace,SG1,0,0
SP10,Aegithalos caudatus,Orite à longue queue,Aves,Passériformes,Aegithalidés,NS1,Autre oiseau,SG2,0,0
SP100,Carduelis flavirostris,Linotte à bec jaune,Aves,Passériformes,Fringillidés,NS1,Autre oiseau,SG2,0,0
SP101,Carduelis spinus,Tarin des aulnes,Aves,Passériformes,Fringillidés,NS1,Autre oiseau,SG2,0,0
SP102,Carpodacus erythrinus,Roselin cramoisi,Aves,Passériformes,Fringillidés,NS1,Autre oiseau,SG2,0,0
SP103,Castor fiber,Castor d'Europe,Mammalia,Castorimorpha,Castoridés,NS1,Mammifère taille moyenne,SG3,0,0
SP104,Certhia brachydactyla,Grimperau des jardins,Aves,Passériformes,Certhiidés,NS1,Autre oiseau,SG2,0,0
SP105,Certhia familiaris,Grimpereau des bois,Aves,Passériformes,Certhiidés,NS1,Autre oiseau,SG2,0,0
SP106,Cervus elaphus,Cerf élaphe,Mammalia,Pecora,Cervidés,NS1,Ongulé,SG3,1,1
SP107,Cettia cetti,Bouscarle de Cetti,Aves,Passériformes,Cettiidés,NS1,Autre oiseau,SG2,0,0
SP108,Charadrius alexandrinus,Pluvier gravelot à collier interrompu,Aves,Charadriiformes,Charadriidés,NS1,Limicole,SG1,0,0
SP109,Charadrius dubius,Pluvier petit gravelot,Aves,Charadriiformes,charadriidés,NS1,Limicole,SG1,0,0
SP11,Aegolius funereus,Chouette de Tengmalm,Aves,Strigiformes,Strigidés,NS1,Rapace,SG1,0,0
SP110,Charadrius hiaticula,Pluvier grand gravelot,Aves,Charadriiformes,Charadriidés,NS1,Limicole,SG1,0,0
SP111,Charadrius morinellus,Pluvier guignard,Aves,Charadriiformes,Charadriidés,NS1,Limicole,SG1,0,0
SP112,Chlamydotis undulata,Outarde houbara,Aves,Otidiformes,Otididés,NS1,Autre oiseau,SG1,0,0
SP113,Chlidonias hybridus,Guifette moustac,Aves,Passériformes,Sternidés,NS1,Laridé,SG1,0,0
SP114,Chlidonias leucopterus,Guifette leucoptère,Aves,Passériformes,Sternidés,NS1,Laridé,SG1,0,0
SP115,Chlidonias niger,Guifette noire,Aves,Passériformes,Sternidés,NS1,Laridé,SG1,0,0
SP116,Ciconia ciconia,Cigogne blanche,Aves,Ciconiiformes,Ciconiidés,NS1,Grand échassier,SG1,0,0
SP117,Ciconia nigra,Cigogne noire,Aves,Ciconiiformes,Ciconiidés,NS1,Grand échassier,SG1,0,0
SP118,Cinclus cinclus,Cincle plongeur,Aves,Passériformes,Cinclidés,NS1,Autre oiseau d'eau,SG2,0,0
SP119,Circaetus gallicus,Circaète Jean le blanc,Aves,Accipitriformes,Accipitridés,NS1,Rapace,SG1,0,0
SP12,Aix galericulata,Canard mandarin,Aves,Ansériformes,Anatidés,NS2,Anatidé  / grèbe,SG4,0,0
SP120,Circus aeruginosus,Busard des roseaux,Aves,Accipitriformes,Accipitridés,NS1,Rapace,SG1,0,0
SP121,Circus cyaneus,Busard Saint Martin,Aves,Accipitriformes,Accipitridés,NS1,Rapace,SG1,0,0
SP122,Circus macrourus,Busard pâle,Aves,Accipitriformes,Accipitridés,NS1,Rapace,SG1,0,0
SP123,Circus pygargus,Busard cendré,Aves,Accipitriformes,Accipitridés,NS1,Rapace,SG1,0,0
SP124,Cisticola juncidis,Cisticole des joncs,Aves,Passériformes,Cisticolidés,NS1,Autre oiseau,SG2,0,0
SP125,Clamator glandarius,Coucou geai,Aves,Cuculiformes,Cuculidés,NS1,Autre oiseau,SG2,0,0
SP126,Clangula hyemalis,Harelde boréale,Aves,Ansériformes,Anatidés,NS1,Anatidé  / grèbe,SG1,0,0
SP127,Clethrionomys glareolus,Campagnol,Mammalia,Muroidea,Muridés,NS1,Micro-mammifère,SG3,0,0
SP128,Coccothraustes coccothraustes,Grosbec casse-noyaux,Aves,Passériformes,Fringillidés,NS1,Autre oiseau,SG2,0,0
SP129,Coccyzus americanus,Coulicou à bec jaune,Aves,Cuculiformes,Cuculidés,NS1,Autre oiseau,SG2,0,0
SP13,Alauda arvensis,Alouette des champs,Aves,Passériformes,Alaudidés,NS1,Autre oiseau,SG2,0,0
SP130,Colinus virginianus,Colin de Virginie,Aves,Galliformes,Phasianidés,NS2,Autre oiseau,SG2,0,0
SP131,Columba livia var. domestica,Pigeon biset féral,Aves,Columbiformes,Colombidés,NS4,Domestique,SG4,0,0
SP132,Columba oenas,Pigeon colombin,Aves,Columbiformes,Colombidés,NS1,Autre oiseau,SG2,0,0
SP133,Columba palumbus,Pigeon ramier,Aves,Columbiformes,Colombidés,NS1,Autre oiseau,SG2,1,1
SP134,Coracias garrulus,Rollier d'Europe,Aves,Coraciiformes,Coraciidés,NS1,Autre oiseau,SG2,0,0
SP135,Coronella austriaca,Coronelle lisse,Reptilia,Squamata,Colubridae,NS1,Reptile,SG2,0,0
SP136,Corvus corax,Grand Corbeau,Aves,Passériformes,Corvidés,NS1,Corvidé,SG2,0,0
SP137,Corvus corone,Corneille noire,Aves,Passériformes,Corvidés,NS1,Corvidé,SG2,0,0
SP138,Corvus frugilegus,Corbeau freux,Aves,Passériformes,Corvidés,NS1,Corvidé,SG2,0,0
SP139,Corvus monedula,Choucas des tours,Aves,Passériformes,Corvidés,NS1,Corvidé,SG2,0,0
SP14,Alca torda,Pingouin torda,Aves,Charadriiformes,Alcidés,NS1,Autre oiseau d'eau,SG1,0,0
SP140,Coturnix coturnix,Caille des blés,Aves,Galliformes,Phasianidés,NS1,Autre oiseau,SG2,0,0
SP141,Crex crex,Râle des genêts,Aves,Gruiformes,Rallidés,NS1,Autre oiseau,SG1,0,0
SP142,Cricetus cricetus,Grand Hasmter,Mammalia,Muroidea,Muridés,NS1,Micro-mammifère,SG3,0,0
SP143,Crocidura leucodon,Musaraigne bicolore,Mammalia,Rodentia,Soricidés,NS1,Micro-mammifère,SG3,0,0
SP144,Crocidura russula,Musaraigne musette,Mammalia,Rodentia,Soricidés,NS1,Micro-mammifère,SG3,0,0
SP145,Cuculus canorus,Coucou gris,Aves,Cuculiformes,Cuculidés,NS1,Autre oiseau,SG2,0,0
SP146,Cygnus columbianus bewickii,Cygne de Bewick,Aves,Ansériformes,Anatidés,NS1,Anatidé  / grèbe,SG1,0,0
SP147,Cygnus cygnus,Cygne chanteur,Aves,Ansériformes,Anatidés,NS1,Anatidé  / grèbe,SG1,0,0
SP148,Cygnus olor,Cygne tuberculé,Aves,Ansériformes,Anatidés,NS1,Anatidé  / grèbe,SG1,0,0
SP149,Dama dama,Daim,Mammalia,Pecora,Cervidés,NS2,Ongulé,SG3,1,1
SP15,Alcedo atthis,Martin-pêcheur d'Europe,Aves,Coraciiformes,Alcédinidés,NS1,Autre oiseau,SG1,0,0
SP150,Delichon urbica,Hirondelle de fenêtre,Aves,Passériformes,Hirundinidés,NS1,Autre oiseau,SG2,0,0
SP151,Dendrocopos leucotos,Pic à dos blanc,Aves,Piciformes,Picidés,NS1,Autre oiseau,SG2,0,0
SP152,Dendrocopos major,Pic épeiche,Aves,Piciformes,Picidés,NS1,Autre oiseau,SG2,0,0
SP153,Dendrocopos medius,Pic mar,Aves,Piciformes,Picidés,NS1,Autre oiseau,SG2,0,0
SP154,Dendrocopos minor,Pic épeichette,Aves,Piciformes,Picidés,NS1,Autre oiseau,SG2,0,0
SP155,Dryocopus martius,Pic noir,Aves,Piciformes,Picidés,NS1,Autre oiseau,SG2,0,0
SP156,Egretta garzetta,Aigrette garzette,Aves,Pélécaniformes,Ardeidés,NS1,Grand échassier,SG1,0,0
SP157,Elanus caeruleus,Elanion blanc,Aves,Accipitriformes,Accipitridés,NS1,Rapace,SG1,0,0
SP158,Eliomys quercinus,Lérot,Mammalia,Rodentia,Muscardinidés,NS1,Micro-mammifère,SG3,0,0
SP159,Emberiza aureola,Bruant auréole,Aves,Passériformes,Emberizidés,NS1,Autre oiseau,SG2,0,0
SP16,Alectoris fufa,Perdrix rouge,Aves,Galliformes,Phasianidés,NS2,Autre oiseau,SG2,0,0
SP160,Emberiza calandra,Bruant proyer,Aves,Passériformes,Emberizidés,NS1,Autre oiseau,SG2,0,0
SP161,Emberiza cia,Bruant fou,Aves,Passériformes,Emberizidés,NS1,Autre oiseau,SG2,0,0
SP162,Emberiza cirlus,Bruant zizi,Aves,Passériformes,Emberizidés,NS1,Autre oiseau,SG2,0,0
SP163,Emberiza citrinella,Bruant jaune,Aves,Passériformes,Emberizidés,NS1,Autre oiseau,SG2,0,0
SP164,Emberiza hortulana,Bruant ortolan,Aves,Passériformes,Emberizidés,NS1,Autre oiseau,SG2,0,0
SP165,Emberiza leucocephala,Bruant à calotte blanche,Aves,Passériformes,Emberizidés,NS1,Autre oiseau,SG2,0,0
SP166,Emberiza pusilla,Bruant nain,Aves,Passériformes,Emberizidés,NS1,Autre oiseau,SG2,0,0
SP167,Emberiza rustica,Bruant rustique,Aves,Passériformes,Emberizidés,NS1,Autre oiseau,SG2,0,0
SP168,Emberiza schoeniclus,Bruant des roseaux,Aves,Passériformes,Emberizidés,NS1,Autre oiseau,SG2,0,0
SP169,Eptesicus nilssonii,Murin,Mammalia,Chiroptera,Verspertilionidés,NS1,Chauve-souris,SG2,0,0
SP17,Alle alle,Mergule nain,Aves,Charadriiformes,Alcidés,NS1,Autre oiseau d'eau,SG1,0,0
SP170,Eptesicus serotinus,Sérotine commune,Mammalia,Chiroptera,Verspertilionidés,NS1,Chauve-souris,SG2,0,0
SP171,Eremophila alpestris,Alouette haussecol,Aves,Passériformes,Alaudidés,NS1,Autre oiseau,SG2,0,0
SP172,Erinaceus europaeus,Hérisson,Mammalia,Eulipotyphla,Erinaceidae,NS1,Micro-mammifère,SG3,0,0
SP173,Erithacus rubecula,Rougegorge familier,Aves,Passériformes,Muscicapidés,NS1,Autre oiseau,SG2,0,0
SP174,Falco columbarius,Faucon émerillon,Aves,Falconiformes,Falconidés,NS1,Rapace,SG1,0,0
SP175,Falco peregrinus,Faucon pèlerin,Aves,Falconiformes,Falconidés,NS1,Rapace,SG1,0,0
SP176,Falco subbuteo,Faucon hobereau,Aves,Falconiformes,Falconidés,NS1,Rapace,SG1,0,0
SP177,Falco tinnunculus,Faucon crécerelle,Aves,Falconiformes,Falconidés,NS1,Rapace,SG1,0,0
SP178,Falco vespertinus,Faucon kobez,Aves,Falconiformes,Falconidés,NS1,Rapace,SG1,0,0
SP179,Felis catus,Chat haret,Mammalia,Carnivora,Félidés,NS4,Domestique,SG4,1,0
SP18,Alopochen aegyptiacus,Ouette d'Egypte,Aves,Ansériformes,Anatidés,NS3,Anatidé  / grèbe,SG4,0,0
SP180,Felis silvestris,Chat sylvestre,Mammalia,Carnivora,Félidés,NS1,Mammifère taille moyenne,SG3,0,0
SP181,Ficedula albicollis,Gobemouche à collier,Aves,Passériformes,Muscicapidés,NS1,Autre oiseau,SG2,0,0
SP182,Ficedula hypoleuca,Gobemouche noir,Aves,Passériformes,Muscicapidés,NS1,Autre oiseau,SG2,0,0
SP183,Ficedula parva,Gobemouche nain,Aves,Passériformes,Muscicapidés,NS1,Autre oiseau,SG2,0,0
SP184,Fratercula arctica,Macareux moine,Aves,Charadriiformes,Alcidés,NS1,Autre oiseau d'eau,SG1,0,0
SP185,Fringilla coelebs,Pinson des arbres,Aves,Passériformes,Fringillidés,NS1,Autre oiseau,SG2,0,0
SP186,Fringilla montifringilla,Pinson du Nord,Aves,Passériformes,Fringillidés,NS1,Autre oiseau,SG2,0,0
SP187,Fulica atra,Foulque macroule,Aves,Gruiformes,Rallidés,NS1,Autre oiseau d'eau,SG1,1,1
SP188,Fulmarus glacialis,Fulmar boréal,Aves,Procellariiformes,Procellaridés,NS1,Autre oiseau d'eau,SG1,0,0
SP189,Galerida cristata,Cochevis huppé,Aves,Passériformes,Alaudidés,NS1,Autre oiseau,SG2,0,0
SP19,Alytes obstetricans,Alyte accoucheur,Amphibia,Anura,Alytidae,NS1,Batracien,SG2,0,0
SP190,Gallinago gallinago,Bécassine des marais,Aves,Charadriiformes,Scolopacidés,NS1,Limicole,SG1,1,0
SP191,Gallinago media,Bécassine double,Aves,Charadriiformes,Scolopacidés,NS1,Limicole,SG1,0,0
SP192,Gallinula chloropus,Gallinule poule d'eau,Aves,Gruiformes,Rallidés,NS1,Autre oiseau d'eau,SG1,1,0
SP193,Garrulus glandarius,Geai des chênes,Aves,Passériformes,Corvidés,NS1,Corvidé,SG2,0,0
SP194,Gavia arctica,Plongeon arctique,Aves,Gaviiformes,Gaviidés,NS1,Autre oiseau d'eau,SG1,0,0
SP195,Gavia stellata,Plongeon catmarin,Aves,Gaviiformes,Gaviidés,NS1,Autre oiseau d'eau,SG1,0,0
SP196,Gelochelidon nilotica,Sterne hansel,Aves,Passériformes,Sternidés,NS1,Laridé,SG1,0,0
SP197,Genetta genetta,Genette,Mammalia,Viverroidea,Viverridés,NS2,Mustélidé,SG3,0,0
SP198,Glareola pratincola,Glaréole à collier,Aves,Charadriiformes,Glaréolidés,NS1,Autre oiseau,SG1,0,0
