species_id,species_name,scientific_name,animal_type_name,match_method,confidence,review_status,evidence,notes
SP378,Accenteur alpin,Prunella collaris,Petits Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP379,Accenteur mouchet,Prunella modularis,Petits Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP206,Aigle botté,Hieraaetus pennatus,Rapaces,candidate_taxonomy_rule,high,approved,taxonomy: AGW Rapace,Phase 1 operational classification; verify domain ownership before migration.
SP47,Aigle criard,Aquila clanga,Rapaces,candidate_taxonomy_rule,high,approved,taxonomy: AGW Rapace,Phase 1 operational classification; verify domain ownership before migration.
SP205,Aigle de Bonelli,Hieraaetus fasciatus,Rapaces,candidate_taxonomy_rule,high,approved,taxonomy: AGW Rapace,Phase 1 operational classification; verify domain ownership before migration.
SP48,Aigle pomarin,Aquila pomarina,Rapaces,candidate_taxonomy_rule,high,approved,taxonomy: AGW Rapace,Phase 1 operational classification; verify domain ownership before migration.
SP46,Aigle royal,Aquila chrysaetos,Rapaces,candidate_taxonomy_rule,high,approved,taxonomy: AGW Rapace,Phase 1 operational classification; verify domain ownership before migration.
SP156,Aigrette garzette,Egretta garzetta,Grands Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP259,Alouette calandre,Melanocorypha calandra,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP82,Alouette calandrelle,Calandrella brachydactyla,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP13,Alouette des champs,Alauda arvensis,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP171,Alouette haussecol,Eremophila alpestris,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP260,Alouette leucoptère,Melanocorypha leucoptera,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP248,Alouette lulu,Lullula arborea,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP19,Alyte accoucheur,Alytes obstetricans,"Reptiles, Amphibiens",candidate_taxonomy_rule,high,approved,taxonomy: class/AGW amphibian or reptile,Phase 1 operational classification; verify domain ownership before migration.
SP1,Autour des palombes,Accipiter gentilis,Rapaces,candidate_taxonomy_rule,high,approved,taxonomy: AGW Rapace,Phase 1 operational classification; verify domain ownership before migration.
SP389,Avocette élégante,Recurvirostra avosetta,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP322,Balbuzard pêcheur,Pandion haliaetus,Rapaces,candidate_taxonomy_rule,high,approved,taxonomy: AGW Rapace,Phase 1 operational classification; verify domain ownership before migration.
SP64,Barbastelle,Barbastella barbastellus,chauves-souris,candidate_taxonomy_rule,high,approved,taxonomy: AGW Chauve-souris,Phase 1 operational classification; verify domain ownership before migration.
