ID,Species,CreavesSpecies,Class,Order,Family,NativeStatus,AgwGroup,SubsideGroup,Game,Huntable
SP1,Accipiter gentilis,Autour des palombes,Class,Accipitriformes,Accipitridés,I1,Rapace,CS1,0,0
SP2,Accipiter nisus,Epervier d'Europe,Class,Accipitriformes,Accipitridés,I1,Rapace,CS1,0,0
SP3,Acrocephalus agricola,Rousserolle isabelle,Class,Passériformes,Acrocéphalidés,I1,Autre oiseau ,CS2,0,0
SP4,Acrocephalus arundinaceus,Rousserolle turdoïde,Class,Passériformes,Acrocéphalidés,I1,Autre oiseau ,CS2,0,0
SP5,Acrocephalus paludicola,Phragmite aquatique,Class,Passériformes,Acrocéphalidés,I1,Autre oiseau ,CS2,0,0
SP6,Acrocephalus palustris,Rousserolle verderolle,Class,Passériformes,Acrocéphalidés,I1,Autre oiseau ,CS2,0,0
SP7,Acrocephalus schoenobaenus,Phragmite des joncs,Class,Passériformes,Acrocéphalidés,I1,Autre oiseau ,CS2,0,0
SP8,Acrocephalus scirpaceus,Rousserolle effarvatte,Class,Passériformes,Acrocéphalidés,I1,Autre oiseau ,CS2,0,0
SP9,Actitis hypoleucos,Chevalier guignette,Class,Charadriiformes,Scolopacidés,I1,Limicole,CS1,0,0
SP10,Aegithalos caudatus,Orite à longue queue,Class,Passériformes,Aegithalidés,I1,Autre oiseau ,CS2,0,0
SP11,Aegolius funereus,Chouette de Tengmalm,Class,Strigiformes,Strigidés,I1,Rapace,CS1,0,0
SP12,Aix galericulata,Canard mandarin,Class,Ansériformes,Anatidés,I2,Anatidé  / grèbe ,CS4,0,0
SP13,Alauda arvensis,Alouette des champs,Class,Passériformes,Alaudidés,I1,Autre oiseau ,CS2,0,0
SP14,Alca torda,Pingouin torda,Class,Charadriiformes,Alcidés,I1,Autre oiseau d'eau,CS1,0,0
SP15,Alcedo atthis,Martin-pêcheur d'Europe,Class,Coraciiformes,Alcédinidés,I1,Autre oiseau ,CS1,0,0
SP16,Alectoris fufa,Perdrix rouge,Class,Galliformes,Phasianidés,I2,Autre oiseau,CS2,0,0
SP17,Alle alle,Mergule nain,Class,Charadriiformes,Alcidés,I1,Autre oiseau d'eau,CS1,0,0
SP18,Alopochen aegyptiacus,Ouette d'Egypte,Class,Ansériformes,Anatidés,I3,Anatidé  / grèbe ,CS4,0,0
SP19,Alytes obstetricans,Alyte accoucheur,Class,Anura,Alytidae,I1,Batracien,CS2,0,0
SP20,Anas acuta,Canard pilet,Class,Ansériformes,Anatidés,I1,Anatidé  / grèbe ,CS1,1,1
SP21,Anas clypeata,Canard souchet,Class,Ansériformes,Anatidés,I1,Anatidé  / grèbe ,CS1,1,1
SP22,Anas crecca,Sarcelle d'hiver,Class,Ansériformes,Anatidés,I1,Anatidé  / grèbe ,CS1,1,1
SP23,Anas discors,Sarcelle à ailes bleues,Class,Ansériformes,Anatidés,I1,Anatidé  / grèbe ,CS1,0,0
SP24,Anas penelope,Canard siffleur,Class,Ansériformes,Anatidés,I1,Anatidé  / grèbe ,CS1,1,1
SP25,Anas platyrhynchos,Canard colvert,Class,Ansériformes,Anatidés,I1,Anatidé  / grèbe ,CS1,1,1
SP26,Anas platyrhynchos domesticus CI,Colvert hybride,Class,Ansériformes,Anatidés,I4,Domestique,CS4,0,0
SP27,Anas querquedula,Sarcelle d'été,Class,Ansériformes,Anatidés,I1,Anatidé  / grèbe ,CS1,1,1
SP28,Anas strepera,Canard chipeau,Class,Ansériformes,Anatidés,I1,Anatidé  / grèbe ,CS1,1,1
SP29,Anguis fragilis,Orvet fragile ,Class,Squamata,Anguidae,I1,Reptile ,CS2,0,0
SP30,Anser,Oie domestique,Class,Ansériformes,Anatidés,I4,Domestique,CS4,0,0
SP31,Anser albifrons,Oie rieuse,Class,Ansériformes,Anatidés,I1,Anatidé  / grèbe ,CS1,1,1
SP32,Anser anser,Oie cendrée,Class,Ansériformes,Anatidés,I1,Anatidé  / grèbe ,CS1,1,1
SP33,Anser brachyrhynchus,Oie à bec court,Class,Ansériformes,Anatidés,I1,Anatidé  / grèbe ,CS1,1,1
SP34,Anser fabalis,Oie des moissons,Class,Ansériformes,Anatidés,I1,Anatidé  / grèbe ,CS1,1,1
SP35,Anthus campestris,Pipit rousseline,Class,Passériformes,Motacillidés,I1,Autre oiseau ,CS2,0,0
SP36,Anthus cervinus,Pipit à gorge rousse,Class,Passériformes,Motacillidés,I1,Autre oiseau ,CS2,0,0
SP37,Anthus petrosus,Pipit maritime,Class,Passériformes,Motacillidés,I1,Autre oiseau ,CS2,0,0
SP38,Anthus pratensis,Pipit farlouse,Class,Passériformes,Motacillidés,I1,Autre oiseau ,CS2,0,0
SP39,Anthus richardi,Pipit de Richard,Class,Passériformes,Motacillidés,I1,Autre oiseau ,CS2,0,0
SP40,Anthus spinoletta,Pipit spioncelle,Class,Passériformes,Motacillidés,I1,Autre oiseau ,CS2,0,0
SP41,Anthus trivialis,Pipit des arbres,Class,Passériformes,Motacillidés,I1,Autre oiseau ,CS2,0,0
SP42,Apodemus flavicollis,Mulot,Class,Muroidea,Muridés,I1,Micro-mammifère,CS3,0,0
SP43,Apodemus sylvaticus,Mulot sylvestre,Class,Muroidea,Muridés,I1,Micro-mammifère,CS3,0,0
SP44,Apus apus,Martinet noir,Class,Apodiformes,Apodidés,I1,Autre oiseau ,CS2,0,0
SP45,Apus melba,Martinet à ventre blanc,Class,Apodiformes,Apodidés,I1,Autre oiseau ,CS2,0,0
SP46,Aquila chrysaetos,Aigle royal,Class,Accipitriformes,Accipitridés,I1,Rapace,CS1,0,0
SP47,Aquila clanga,Aigle criard,Class,Accipitriformes,Accipitridés,I1,Rapace,CS1,0,0
SP48,Aquila pomarina,Aigle pomarin,Class,Accipitriformes,Accipitridés,I1,Rapace,CS1,0,0
SP49,Ardea alba,Grande Aigrette,Class,Pélécaniformes,Ardeidés,I1,Grand échassier,CS1,0,0
SP50,Ardea cinerea,Héron cendré,Class,Pélécaniformes,Ardeidés,I1,Grand échassier,CS1,0,0
SP51,Ardea purpurea,Héron pourpré,Class,Pélécaniformes,Ardeidés,I1,Grand échassier,CS1,0,0
SP52,Ardeola ralloides,Crabier chevelu,Class,Pélécaniformes,Ardeidés,I1,Grand échassier,CS1,0,0
SP53,Arenaria interpres,Tournepierre à collier,Class,Charadriiformes,Scolopacidés,I1,Limicole,CS1,0,0
SP54,Arvicola terrestris,Campagnol terrestre,Class,Muroidea,Muridés,I1,Micro-mammifère,CS3,0,0
SP55,Asio flammeus,Hibou des marais,Class,Strigiformes,Strigidés,I1,Rapace,CS1,0,0
SP56,Asio otus,Hibou moyen-duc,Class,Strigiformes,Strigidés,I1,Rapace,CS1,0,0
SP57,Athene noctua,Chevêche d'Athena,Class,Strigiformes,Strigidés,I1,Rapace,CS1,0,0
SP58,Remiz pendulinus,Remiz penduline,Class,Passériformes,Rémizidés,I1,Autre oiseau ,CS2,0,0
SP59,Aythya collaris,Fuligule à bec cerclé,Class,Ansériformes,Anatidés,I1,Anatidé  / grèbe ,CS1,0,0
SP60,Aythya ferina,Fuligule milouin,Class,Ansériformes,Anatidés,I1,Anatidé  / grèbe ,CS1,1,1
SP61,Aythya fuligula,Fuligule morillon,Class,Ansériformes,Anatidés,I1,Anatidé  / grèbe ,CS1,1,1
SP62,Aythya marila,Fuligule milouinan,Class,Ansériformes,Anatidés,I1,Anatidé  / grèbe ,CS1,1,1
SP63,Aythya nyroca,Fuligule nyroca,Class,Ansériformes,Anatidés,I1,Anatidé  / grèbe ,CS1,0,0
SP64,Barbastella barbastellus,Barbastelle,Class,Chiroptera,Verspertilionidés,I1,Chauve-souris,CS2,0,0
SP65,Bombina variegata,Sonneur à ventre jaune,Class,Anura,Bombinatoridae,I1,Batracien,CS2,0,0
SP66,Bombycilla garrulus,Jaseur boréal,Class,Passériformes,Bombycillidés,I1,Autre oiseau ,CS2,0,0
SP67,Bonasa bonasia,Gélinotte des bois,Class,Galliformes,Phasianidés,I1,Autre oiseau ,CS2,0,0
SP68,Botaurus stellaris,Butor étoilé,Class,Pélécaniformes,Ardeidés,I1,Grand échassier,CS1,0,0
SP69,Branta bernicla,Bernache cravant,Class,Ansériformes,Anatidés,I1,Anatidé  / grèbe ,CS1,0,0
SP70,Branta canadensis,Bernache du Canada,Class,Ansériformes,Anatidés,I2,Anatidé  / grèbe ,CS4,1,1
SP71,Branta leucopsis,Bernache nonnette,Class,Ansériformes,Anatidés,I1,Anatidé  / grèbe ,CS1,0,0
SP72,Branta ruficollis,Bernache à cou roux,Class,Ansériformes,Anatidés,I1,Anatidé  / grèbe ,CS1,0,0
SP73,Bubo bubo,Grand-Duc d'Europe,Class,Strigiformes,Strigidés,I1,Rapace,CS1,0,0
SP74,Bubulcus ibis,Héron garde-boeufs,Class,Pélécaniformes,Ardeidés,I1,Grand échassier,CS1,0,0
SP75,Bucephala clangula,Garrot à oeil d'or,Class,Ansériformes,Anatidés,I1,Anatidé  / grèbe ,CS1,0,0
SP76,Bufo bufo,Crapaud commun,Class,Anura,Bufonidae,I1,Batracien,CS2,0,0
SP77,Bufo calamita,Crapaud calamite,Class,Anura,Bufonidae,I1,Batracien,CS2,0,0
SP78,Burhinus oedicnemus,Oedicnème criard,Class,Charadriiformes,Burhinidés,I1,Limicole,CS1,0,0
SP79,Buteo buteo,Buse variable,Class,Accipitriformes,Accipitridés,I1,Rapace,CS1,0,0
SP80,Buteo lagopus,Buse pattue,Class,Accipitriformes,Accipitridés,I1,Rapace,CS1,0,0
SP81,Cairina moschata,Canard de barbarie,Class,Ansériformes,Anatidés,I4,Domestique,CS4,0,0
SP82,Calandrella brachydactyla,Alouette calandrelle,Class,Passériformes,Alaudidés,I1,Autre oiseau ,CS2,0,0
SP83,Calcarius lapponicus,Bruant lapon,Class,Passériformes,Emberizidés,I1,Autre oiseau ,CS2,0,0
SP84,Calidris acuminata,Bécasseau à queue pointue,Class,Charadriiformes,Scolopacidés,I1,Limicole,CS1,0,0
SP85,Calidris alba,Bécasseau sanderling,Class,Charadriiformes,Scolopacidés,I1,Limicole,CS1,0,0
SP86,Calidris alpina,Bécasseau variable,Class,Charadriiformes,Scolopacidés,I1,Limicole,CS1,0,0
SP87,Calidris canutus,Bécasseau maubèche,Class,Charadriiformes,Scolopacidés,I1,Limicole,CS1,0,0
SP88,Calidris ferruginea,Bécasseau cocorli,Class,Charadriiformes,Scolopacidés,I1,Limicole,CS1,0,0
SP89,Calidris fuscicollis,Bécasseau de Bonaparte,Class,Charadriiformes,Scolopacidés,I1,Limicole,CS1,0,0
SP90,Calidris melanotos,Bécasseau tacheté,Class,Charadriiformes,Scolopacidés,I1,Limicole,CS1,0,0
SP91,Calidris minuta,Bécasseau minute,Class,Charadriiformes,Scolopacidés,I1,Limicole,CS1,0,0
SP92,Calidris temminckii,Bécasseau de Temminck,Class,Charadriiformes,Scolopacidés,I1,Limicole,CS1,0,0
SP93,Canis lupus,Loup,Class,Carnivora,Canidés,I1,Mammifère taille moyenne,CS3,0,0
SP94,Capreolus capreolus,Chevreuil,Class,Pecora,Cervidés,I1,Ongulé,CS3,1,1
SP95,Caprimulgus europaeus,Engoulevent d'Europe,Class,Caprimulgiformes,Caprimulgidés,I1,Autre oiseau ,CS2,0,0
SP96,Carduelis cannabina,Linotte mélodieuse,Class,Passériformes,Fringillidés,I1,Autre oiseau ,CS2,0,0
SP97,Carduelis carduelis,Chardonneret élégant,Class,Passériformes,Fringillidés,I1,Autre oiseau ,CS2,0,0
SP98,Carduelis chloris,Verdier d'Europe,Class,Passériformes,Fringillidés,I1,Autre oiseau ,CS2,0,0
SP99,Carduelis flammea,Sizerin flammé,Class,Passériformes,Fringillidés,I1,Autre oiseau ,CS2,0,0
SP100,Carduelis flavirostris,Linotte à bec jaune,Class,Passériformes,Fringillidés,I1,Autre oiseau ,CS2,0,0
SP101,Carduelis spinus,Tarin des aulnes,Class,Passériformes,Fringillidés,I1,Autre oiseau ,CS2,0,0
SP102,Carpodacus erythrinus,Roselin cramoisi,Class,Passériformes,Fringillidés,I1,Autre oiseau ,CS2,0,0
SP103,Castor fiber,Castor d'Europe,Class,Castorimorpha,Castoridés,I1,Mammifère taille moyenne,CS3,0,0
SP104,Certhia brachydactyla,Grimperau des jardins,Class,Passériformes,Certhiidés,I1,Autre oiseau,CS2,0,0
SP105,Certhia familiaris,Grimpereau des bois,Class,Passériformes,Certhiidés,I1,Autre oiseau,CS2,0,0
SP106,Cervus elaphus,Cerf élaphe,Class,Pecora,Cervidés,I1,Ongulé,CS3,1,1
SP107,Cettia cetti,Bouscarle de Cetti,Class,Passériformes,Cettiidés,I1,Autre oiseau ,CS2,0,0
SP108,Charadrius alexandrinus,Pluvier gravelot à collier interrompu,Class,Charadriiformes,Charadriidés,I1,Limicole,CS1,0,0
SP109,Charadrius dubius,Pluvier petit gravelot,Class,Charadriiformes,charadriidés,I1,Limicole,CS1,0,0
SP110,Charadrius hiaticula,Pluvier grand gravelot,Class,Charadriiformes,Charadriidés,I1,Limicole,CS1,0,0
SP111,Charadrius morinellus,Pluvier guignard,Class,Charadriiformes,Charadriidés,I1,Limicole,CS1,0,0
SP112,Chlamydotis undulata,Outarde houbara,Class,Otidiformes,Otididés,I1,Autre oiseau ,CS1,0,0
SP113,Chlidonias hybridus,Guifette moustac,Class,Passériformes,Sternidés,I1,Laridé,CS1,0,0
SP114,Chlidonias leucopterus,Guifette leucoptère,Class,Passériformes,Sternidés,I1,Laridé,CS1,0,0
SP115,Chlidonias niger,Guifette noire,Class,Passériformes,Sternidés,I1,Laridé,CS1,0,0
SP116,Ciconia ciconia,Cigogne blanche,Class,Ciconiiformes,Ciconiidés,I1,Grand échassier,CS1,0,0
SP117,Ciconia nigra,Cigogne noire,Class,Ciconiiformes,Ciconiidés,I1,Grand échassier,CS1,0,0
SP118,Cinclus cinclus,Cincle plongeur,Class,Passériformes,Cinclidés,I1,Autre oiseau d'eau,CS2,0,0
SP119,Circaetus gallicus,Circaète Jean le blanc,Class,Accipitriformes,Accipitridés,I1,Rapace,CS1,0,0
SP120,Circus aeruginosus,Busard des roseaux,Class,Accipitriformes,Accipitridés,I1,Rapace,CS1,0,0
SP121,Circus cyaneus,Busard Saint Martin,Class,Accipitriformes,Accipitridés,I1,Rapace,CS1,0,0
SP122,Circus macrourus,Busard pâle,Class,Accipitriformes,Accipitridés,I1,Rapace,CS1,0,0
SP123,Circus pygargus,Busard cendré,Class,Accipitriformes,Accipitridés,I1,Rapace,CS1,0,0
SP124,Cisticola juncidis,Cisticole des joncs,Class,Passériformes,Cisticolidés,I1,Autre oiseau ,CS2,0,0
SP125,Clamator glandarius,Coucou geai,Class,Cuculiformes,Cuculidés,I1,Autre oiseau ,CS2,0,0
SP126,Clangula hyemalis,Harelde boréale,Class,Ansériformes,Anatidés,I1,Anatidé  / grèbe ,CS1,0,0
SP127,Clethrionomys glareolus,Campagnol,Class,Muroidea,Muridés,I1,Micro-mammifère,CS3,0,0
SP128,Coccothraustes coccothraustes,Grosbec casse-noyaux,Class,Passériformes,Fringillidés,I1,Autre oiseau ,CS2,0,0
SP129,Coccyzus americanus,Coulicou à bec jaune,Class,Cuculiformes,Cuculidés,I1,Autre oiseau ,CS2,0,0
SP130,Colinus virginianus,Colin de Virginie,Class,Galliformes,Phasianidés,I2,Autre oiseau ,CS2,0,0
SP131,Columba livia var. domestica,Pigeon biset féral,Class,Columbiformes,Colombidés,I4,Domestique,CS4,0,0
SP132,Columba oenas,Pigeon colombin,Class,Columbiformes,Colombidés,I1,Autre oiseau ,CS2,0,0
SP133,Columba palumbus,Pigeon ramier,Class,Columbiformes,Colombidés,I1,Autre oiseau ,CS2,1,1
SP134,Coracias garrulus,Rollier d'Europe,Class,Coraciiformes,Coraciidés,I1,Autre oiseau ,CS2,0,0
SP135,Coronella austriaca,Coronelle lisse,Class,Squamata,Colubridae,I1,Reptile ,CS2,0,0
SP136,Corvus corax,Grand Corbeau,Class,Passériformes,Corvidés,I1,Corvidé,CS2,0,0
SP137,Corvus corone,Corneille noire,Class,Passériformes,Corvidés,I1,Corvidé,CS2,0,0
SP138,Corvus frugilegus,Corbeau freux,Class,Passériformes,Corvidés,I1,Corvidé,CS2,0,0
SP139,Corvus monedula,Choucas des tours,Class,Passériformes,Corvidés,I1,Corvidé,CS2,0,0
SP140,Coturnix coturnix,Caille des blés,Class,Galliformes,Phasianidés,I1,Autre oiseau ,CS2,0,0
SP141,Crex crex,Râle des genêts,Class,Gruiformes,Rallidés,I1,Autre oiseau,CS1,0,0
SP142,Cricetus cricetus,Grand Hasmter,Class,Muroidea,Muridés,I1,Micro-mammifère,CS3,0,0
SP143,Crocidura leucodon,Musaraigne bicolore,Class,Rodentia,Soricidés,I1,Micro-mammifère,CS3,0,0
SP144,Crocidura russula,Musaraigne musette,Class,Rodentia,Soricidés,I1,Micro-mammifère,CS3,0,0
SP145,Cuculus canorus,Coucou gris,Class,Cuculiformes,Cuculidés,I1,Autre oiseau ,CS2,0,0
SP146,Cygnus columbianus bewickii,Cygne de Bewick,Class,Ansériformes,Anatidés,I1,Anatidé  / grèbe ,CS1,0,0
SP147,Cygnus cygnus,Cygne chanteur,Class,Ansériformes,Anatidés,I1,Anatidé  / grèbe ,CS1,0,0
SP148,Cygnus olor,Cygne tuberculé,Class,Ansériformes,Anatidés,I1,Anatidé  / grèbe ,CS1,0,0
SP149,Dama dama,Daim,Class,Pecora,Cervidés,I2,Ongulé,CS3,1,1
SP150,Delichon urbica,Hirondelle de fenêtre,Class,Passériformes,Hirundinidés,I1,Autre oiseau ,CS2,0,0
SP151,Dendrocopos leucotos,Pic à dos blanc,Class,Piciformes,Picidés,I1,Autre oiseau ,CS2,0,0
SP152,Dendrocopos major,Pic épeiche,Class,Piciformes,Picidés,I1,Autre oiseau ,CS2,0,0
SP153,Dendrocopos medius,Pic mar,Class,Piciformes,Picidés,I1,Autre oiseau ,CS2,0,0
SP154,Dendrocopos minor,Pic épeichette,Class,Piciformes,Picidés,I1,Autre oiseau ,CS2,0,0
SP155,Dryocopus martius,Pic noir,Class,Piciformes,Picidés,I1,Autre oiseau ,CS2,0,0
SP156,Egretta garzetta,Aigrette garzette,Class,Pélécaniformes,Ardeidés,I1,Grand échassier,CS1,0,0
SP157,Elanus caeruleus,Elanion blanc,Class,Accipitriformes,Accipitridés,I1,Rapace,CS1,0,0
