unique_id,table,record_id,field,fr_value,en-US,nl,de
fd853ac6-5624-59b7-97b1-bf9aa449da06,animalages,55e46d9c-3918-4b89-9f97-5e2534d1baca,description,Sans plumes ou sans poils,Featherless or hairless,Vederloos of haarloos,Federlos oder haarlos
248b167c-7c6c-5412-9d9d-b4ad6807e6c7,animalages,55e46d9c-3918-4b89-9f97-5e2534d1baca,name,bébé,baby,baby,Baby
18385489-e88a-5bf9-8f80-4283269095c6,animalages,666b9be9-1b39-4e85-9a8c-390a08e16b69,name,juvénile,juvenile,juvéniel,Jugendlich
2752e3f2-74bc-40ec-bc92-c35a90583e1d,animalages,684529ae-5b1c-4721-88c9-4bceab2a565f,name,juvénile,juvenile,juvéniel,Jugendlich
66a0f833-d5d6-4d31-9672-c972bae523b2,animalages,85d68c26-34f5-41ba-8a5f-3bedfe680b65,name,bébé,baby,baby,Baby
068183dd-81a5-5712-a521-0edde44b27eb,animalages,d8d41503-f5ba-422b-896c-116a4931605f,name,adulte,adult,volwassen,Erwachsen
756b4d7f-61d0-4c2c-ae6d-401a15f3c2f2,animalages,e722220d-c92c-4373-9f8a-895f5650f3fe,name,adulte,adult,volwassen,Erwachsen
a6505a87-c369-4772-b4a2-a0f9b86df2a2,animaltypes,1d2bf17b-9216-41e1-9978-89755011d773,description,"Guillemot de Troïl, ",Common Murre (Guillemot),Zeekoet,Trottellumme
e6a4c832-e356-4fdd-870d-ebacd3ecf06b,animaltypes,1d2bf17b-9216-41e1-9978-89755011d773,name,Grands oiseaux,Large birds,Grote vogels,Große Vögel
259f86c9-c4a4-4756-aee4-370215808f0e,animaltypes,2278a7b9-fa09-447d-8e5a-b345b2b6cd94,default_species,Ecureuil roux,Red squirrel,Rode eekhoorn,Rothörnchen
8cd839fb-73b3-4a6c-af1d-5acf63b4a3de,animaltypes,2278a7b9-fa09-447d-8e5a-b345b2b6cd94,description,"Castor d'Europe, ",European Beaver,Europese bever,Europäischer Biber
162884dd-b485-4da5-8004-0a80cffa3c86,animaltypes,2278a7b9-fa09-447d-8e5a-b345b2b6cd94,name,Rongeurs,Rodents,Knaagdieren,Nagetiere
0234a072-c688-4ebe-a1f8-208e303b69b4,animaltypes,5775940f-3581-403d-b403-fb96bfd176d6,default_species,Chevreuil,Roe Deer,Ree,Reh
ce4eb170-4d28-4b1d-995a-fbf3ecc01f66,animaltypes,5775940f-3581-403d-b403-fb96bfd176d6,description,"Mouflon x Mouton domestique, ",Mouflon x Domestic Sheep,Mufflon x Huisschaap,Mufflon x Hausschaf
7de7def3-b108-400f-9a51-5d3632b8f40f,animaltypes,5775940f-3581-403d-b403-fb96bfd176d6,name,Ongulés,Ungulates,Hoefdieren,Paarhufer
3e5ae0be-9e3a-4df8-807e-60dd0d70d7ed,animaltypes,5d3aecb0-7cfe-4030-a55f-f3195dd83ed9,description,"Alouette calandre, ",Calandra Lark,Kalanderleeuwerik,Kalanderlerche
1e07ca64-360b-46b2-8392-d5f80f2b75ab,animaltypes,5d3aecb0-7cfe-4030-a55f-f3195dd83ed9,name,Moyens Oiseaux,Medium birds,Middelgrote vogels,Mittelgroße Vögel
4d1a9f9d-cabf-53fe-8fa5-45e1ff9d46a9,animaltypes,6392f594-f4ad-47f5-b3af-7d4a511560df,default_species,Lièvre d\\'Europe,European Brown Hare,Europese haas,Europäischer Feldhase
186ba432-e367-416f-9e30-380a7b4cd266,animaltypes,6392f594-f4ad-47f5-b3af-7d4a511560df,description,"Lapin de Garenne, ",European Rabbit,Konijn,Wildkaninchen
cffe5bf5-7ebf-40e4-87b4-8e16c70e5685,animaltypes,6392f594-f4ad-47f5-b3af-7d4a511560df,name,Lapins et Lièvres (Lagomorphes),Rabbits and Hares (Lagomorphs),Konijnen en Hazen (Lagomorfen),Hasenartige (Lagomorphe)
7329e555-bd58-55e4-b689-0ede74e42053,animaltypes,a82ea68b-9ad5-4373-b3b8-41ca7b5df956,name,"Reptiles, Amphibiens",Reptiles, Amphibians,Reptielen
37959596-4ff2-43d9-8e20-aaf967720876,animaltypes,abcb23b2-c39e-4835-b5db-6f0ea359b562,default_species,Renard roux,Red fox,Vos,Rotfuchs
7ee0de4e-75db-40c3-a2f8-6bd5e16aba68,animaltypes,abcb23b2-c39e-4835-b5db-6f0ea359b562,description,"Chien viverrin, ",Raccoon dog,Wasbeerhond,Marderhund
0baa34a0-45c6-4dc6-9e59-f30a0f4a0dca,animaltypes,abcb23b2-c39e-4835-b5db-6f0ea359b562,name,Canidés,Canids,Hondachtigen,Hundeartige
ffb33dbc-f2ec-4ed3-9697-2d6335c7e02b,animaltypes,ad5dcb5a-d7f2-45b8-8dcb-a63722a72d27,description,"Hypolaïs ictérine, ",Icterine Warbler,Spotvogel,Gelbspötter
2c9de822-1e6f-4abe-9f74-c0fc13919945,animaltypes,ad5dcb5a-d7f2-45b8-8dcb-a63722a72d27,name,Petits Oiseaux,Small birds,Kleine vogels,Kleine Vögel
4a98090a-97f0-4921-b878-91ce08152666,animaltypes,b3e9ca56-b28e-407a-8b6d-5f39970d2a17,description,"Alyte accoucheur, ",Midwife Toad,Vroedmeesterpad,Geburtshelferkröte
b1d5a3f3-db02-4800-8097-ccde8d909145,animaltypes,b3e9ca56-b28e-407a-8b6d-5f39970d2a17,name,Reptiles et Amphibiens,Reptiles and Amphibians,Reptielen en Amfibieën,Reptilien und Amphibien
51bd7954-ca22-4f23-baf2-bfa895897fde,animaltypes,bb6d50bd-e790-4c2a-9895-6c84a2143b60,default_species,Pipistrelle,Pipistrelle bat,Forel,Zwergfledermaus
3eb545e4-ecf9-4f29-ac1f-f2f3510e125f,animaltypes,bb6d50bd-e790-4c2a-9895-6c84a2143b60,description,"Rhinolophe grand fer à cheval, ",Greater Horseshoe Bat,Grote hoefijzerneus,Große Hufeisennase
29959711-9660-49b3-955e-cec800872c39,animaltypes,bb6d50bd-e790-4c2a-9895-6c84a2143b60,name,chauves-souris,bats,vleermuizen,Fledermäuse
6874e6d6-2a0f-44ef-b905-4ea2cc869560,animaltypes,c4f8665c-a23a-46b6-93f4-5349ff16102c,default_species,Chat sylvestre,European Wildcat,Wilde kat,Wildkatze
3cdd0aa2-8030-4586-9e46-683ba04811f7,animaltypes,c4f8665c-a23a-46b6-93f4-5349ff16102c,description,"Chat sylvestre, ",European Wildcat,Wilde kat,Wildkatze
977e629e-023b-4695-b997-ee62bce4a064,animaltypes,c4f8665c-a23a-46b6-93f4-5349ff16102c,name,Félidés,Felids,katachtigen,Katzenartige
d3d3957c-9397-4233-9fee-dfd0f91d6f2c,animaltypes,d61d32ef-40f3-4910-8c24-0a62e2c8562c,description,"Pigeon biset féral, ",Feral Pigeon (Rock Dove),Stadsduif,Straßentaube
6ba817e0-ec63-4e2c-8952-adde06fe93f2,animaltypes,d61d32ef-40f3-4910-8c24-0a62e2c8562c,name,Colombidés,Pigeons and Doves,Duiven,Tauben
